long	lat	order	group
119.596817	17.566729	1	1
119.552871	17.105291	2	1
119.508926	16.389915	3	1
119.489981	16.010112	4	1
119.476035	15.544927	5	1
119.478035	15.163537	6	1
119.524981	14.823944	7	1
119.539981	14.483818	8	1
119.568926	14.100552	9	1
119.644817	13.716641	10	1
119.719707	13.374859	11	1
119.784598	13.03259	12	1
119.882434	12.689849	13	1
119.98627	12.303712	14	1
120.01416	12.088945	15	1
120.137051	11.615854	16	1
120.235887	10.86944	17	1
120.275832	10.650473	18	1
120.278832	10.451285	19	1
120.297832	10.19188	20	1
120.313887	9.932264	21	1
120.323887	9.629118	22	1
120.335942	9.23896	23	1
120.343887	8.587745	24	1
120.343887	8.239967	25	1
120.329942	7.848351	26	1
120.294996	7.499938	27	1
120.259051	7.06403	28	1
120.221106	6.671361	29	1
120.18616	6.365733	30	1
120.139215	5.84138	31	1
120.118215	5.579017	32	1
120.05227	5.053944	33	1
119.998325	4.572252	34	1
119.936379	4.177897	35	1
119.839434	3.695641	36	1
119.788489	3.300871	37	1
119.697598	2.77427	38	1
119.545762	2.115694	39	1
119.493817	1.764333	40	1
119.349981	1.149301	41	1
119.250035	0.783848	42	1
119.133254	0.314415	43	1
118.943528	-0.344761	44	1
118.820801	-0.872073	45	1
118.606075	-1.531104	46	1
118.435293	-2.058187	47	1
118.230567	-2.585096	48	1
118.054785	-3.199544	49	1
117.786114	-3.85747	50	1
117.605332	-4.383449	51	1
117.380606	-4.996621	52	1
117.199825	-5.390504	53	1
116.975098	-6.002697	54	1
116.750371	-6.657854	55	1
116.56459	-7.094145	56	1
116.432754	-7.486455	57	1
116.256973	-7.92194	58	1
116.03301	-8.443913	59	1
115.85752	-8.834932	60	1
115.685684	-9.225537	61	1
115.422012	-9.702355	62	1
115.15834	-10.178495	63	1
